Player,Weekly Wage
Billy Gilmour,"20000"
Jason Steele,"20000"
Cauley Woodrow,"20000"
Issa Kaboré,"20000"
Tom Lockyer,"20000"
Giulian Biancone,"20000"
Harry Arter,"20000"
Scott McKenna,"20000"
Mark Travers,"20000"
Ethan Horvath,"17115"
Hannibal Mejbri,"15000"
Andre Brooks,"15000"
Chris Basham,"15000"
James McAtee,"15000"
Luke Thomas,"15000"
Ashley Phillips,"15000"
Emiliano Marcondes,"15000"
Enes Ünal,"15000"
Kieffer Moore,"15000"
Ben Doak,"15000"
Curtis Jones,"15000"
Jarell Quansah,"15000"
Bruno Jordão,"15000"
Ameen Al-Dakhil,"15000"
Anass Zaroury,"15000"
Han-Noah Massengo,"15000"
Hannes Delcroix,"15000"
Michael Obafemi,"15000"
Saman Ghoddos,"15000"
Shandon Baptiste,"15000"
Yunus Emre Konak,"15000"
Facundo Buonanotte,"15000"
Steven Alzate,"15000"
Chiedozie Ogbene,"15000"
Daiki Hashioka,"15000"
Mads Juel Andersen,"15000"
Wayne Hennessey,"15000"
Marek Rodák,"15000"
Oscar Bobb,"15000"
Anis Ben Slimane,"12500"
John Egan,"12500"
Wes Foderingham,"12500"
William Osula,"12500"
Carlos Baleba,"12500"
Simon Adingra,"12500"
Andros Townsend,"12500"
Elijah Adebayo,"12500"
Reece Burke,"12500"
Luke Harris,"12500"
Karl Jakob Hein,"10000"
Kobbie Mainoo,"10000"
Bénie Traoré,"10000"
Femi Seriki,"10000"
George Baldock,"10000"
Ismaila Coulibaly,"10000"
Max Lowe,"10000"
Yasser Larouci,"10000"
Joe Whitworth,"10000"
Malcolm Ebiowei,"10000"
Caoimhín Kelleher,"10000"
Conor Bradley,"10000"
Rhys Williams,"10000"
Joe Gauci,"10000"
Kortney Hause,"10000"
Daniel Bentley,"10000"
Hugo Bueno,"10000"
Rayan Aït-Nouri,"10000"
Tommy Doyle,"10000"
Toti Gomes,"10000"
Darko Churlinov,"10000"
Lorenz Assignon,"10000"
Luca Koleosho,"10000"
Mike Trésor,"10000"
Wilson Odobert,"10000"
Loris Karius,"10000"
Mark Gillespie,"10000"
Ellery Balcombe,"10000"
Hákon Rafn Valdimarsson,"10000"
Kevin Schade,"10000"
Diego Moreira,"10000"
Jack Hinshelwood,"10000"
Jakub Moder,"10000"
Julio Enciso,"10000"
Tom McGill,"10000"
Amari'i Bell,"10000"
Carlton Morris,"10000"
Dan Potts,"10000"
Gabriel Osho,"10000"
Luke Berry,"10000"
Pelly Ruddock Mpanzu,"10000"
Teden Mengi,"10000"
Brandon Aguilera,"10000"
Steven Benda,"10000"
Joe Rothwell,"8000"
Charlie Goode,"8000"
Lewis Dobbin,"8000"
Willy Kambwala,"7500"
Alfie Whiteman,"7500"
Brandon Austin,"7500"
Jesurun Rak-Sakyi,"7500"
Cesare Casadei,"7500"
Andy Lonergan,"7500"
João Virgínia,"7500"
Alfie Doughty,"7500"
James Shea,"7500"
Rodrigo Ribeiro,"7500"
Rodrigo Muniz,"7500"
Lawrence Vigouroux,"7000"
Lewis Hall,"7000"
Tyrese Francois,"7000"
CJ Egan-Riley,"6000"
Fred Onyedinma,"5577"
Remi Matthews,"5385"
