Player,Weekly Wage
Ben Osborn,"20,000"
Jayden Bogle,"20,000"
Jordan Amissah,"20,000"
Oliver Norwood,"20,000"
Naouirou Ahamada,"20,000"
Antoine Semenyo,"20,000"
Ben Johnson,"20,000"
Morgan Rogers,"20,000"
Enso Gonz‡lez,"20,000"
Dara O'Shea,"20,000"
Hjalmar Ekdal,"20,000"
Ivan Toney,"20,000"
Josh Dasilva,"20,000"
Mads Roerslev,"20,000"
Ian Maatsen,"20,000"
Billy Gilmour,"20,000"
Jason Steele,"20,000"
Cauley Woodrow,"20,000"
Issa KaborŽ,"20,000"
Tom Lockyer,"20,000"
Giulian Biancone,"20,000"
Harry Arter,"20,000"
Scott McKenna,"20,000"
Mark Travers,"20,000"
Ethan Horvath,"17,115"
Hannibal Mejbri,"15,000"
Andre Brooks,"15,000"
Chris Basham,"15,000"
James McAtee,"15,000"
Luke Thomas,"15,000"
Ashley Phillips,"15,000"
Emiliano Marcondes,"15,000"
Enes †nal,"15,000"
Kieffer Moore,"15,000"
Ben Doak,"15,000"
Curtis Jones,"15,000"
Jarell Quansah,"15,000"
Bruno Jord‹o,"15,000"
Ameen Al-Dakhil,"15,000"
Anass Zaroury,"15,000"
Han-Noah Massengo,"15,000"
Hannes Delcroix,"15,000"
Michael Obafemi,"15,000"
Saman Ghoddos,"15,000"
Shandon Baptiste,"15,000"
Yunus Emre Konak,"15,000"
Facundo Buonanotte,"15,000"
Steven Alzate,"15,000"
Chiedozie Ogbene,"15,000"
Daiki Hashioka,"15,000"
Mads Juel Andersen,"15,000"
Wayne Hennessey,"15,000"
Marek Rod‡k,"15,000"
Oscar Bobb,"15,000"
Anis Ben Slimane,"12,500"
John Egan,"12,500"
Wes Foderingham,"12,500"
William Osula,"12,500"
Carlos Baleba,"12,500"
Simon Adingra,"12,500"
Andros Townsend,"12,500"
Elijah Adebayo,"12,500"
Reece Burke,"12,500"
Luke Harris,"12,500"
Karl Jakob Hein,"10,000"
Kobbie Mainoo,"10,000"
BŽnie TraorŽ,"10,000"
Femi Seriki,"10,000"
George Baldock,"10,000"
Ismaila Coulibaly,"10,000"
Max Lowe,"10,000"
Yasser Larouci,"10,000"
Joe Whitworth,"10,000"
Malcolm Ebiowei,"10,000"
Caoimh’n Kelleher,"10,000"
Conor Bradley,"10,000"
Rhys Williams,"10,000"
Joe Gauci,"10,000"
Kortney Hause,"10,000"
Daniel Bentley,"10,000"
Hugo Bueno,"10,000"
Rayan A•t-Nouri,"10,000"
Tommy Doyle,"10,000"
Toti Gomes,"10,000"
Darko Churlinov,"10,000"
Lorenz Assignon,"10,000"
Luca Koleosho,"10,000"
Mike TrŽsor,"10,000"
Wilson Odobert,"10,000"
Loris Karius,"10,000"
Mark Gillespie,"10,000"
Ellery Balcombe,"10,000"
H‡kon Rafn Valdimarsson,"10,000"
Kevin Schade,"10,000"
Diego Moreira,"10,000"
Jack Hinshelwood,"10,000"
Jakub Moder,"10,000"
Julio Enciso,"10,000"
Tom McGill,"10,000"
Amari'i Bell,"10,000"
Carlton Morris,"10,000"
Dan Potts,"10,000"
Gabriel Osho,"10,000"
Luke Berry,"10,000"
Pelly Ruddock Mpanzu,"10,000"
Teden Mengi,"10,000"
Brandon Aguilera,"10,000"
Steven Benda,"10,000"
Joe Rothwell,"8,000"
Charlie Goode,"8,000"
Lewis Dobbin,"8,000"
Willy Kambwala,"7,500"
Alfie Whiteman,"7,500"
Brandon Austin,"7,500"
Jesurun Rak-Sakyi,"7,500"
Cesare Casadei,"7,500"
Andy Lonergan,"7,500"
Jo‹o Virg’nia,"7,500"
Alfie Doughty,"7,500"
James Shea,"7,500"
Rodrigo Ribeiro,"7,500"
Rodrigo Muniz,"7,500"
Lawrence Vigouroux,"7,000"
Lewis Hall,"7,000"
Tyrese Francois,"7,000"
CJ Egan-Riley,"6,000"
Fred Onyedinma,"5,577"
Remi Matthews,"5,385"
Shola Shoretire,"5,000"
Conor Coventry,"5,000"
Tim Iroegbunam,"5,000"
Joe Hodge,"5,000"
Noha Lemina,"5,000"
Tom King,"5,000"
Maxime Estve,"5,000"
Lewis Miley,"5,000"
Myles Peart-Harris,"5,000"
Yegor Yarmolyuk,"5,000"
Tyler Onyango,"5,000"
Jordan Clark,"5,000"
Daniel Jebbison,"4,000"
Rhys Norrington-Davies,"4,000"
Divin Mubama,"4,000"
Joseph Anang,"4,000"
Enock Agyei,"4,000"
Alex Mighten,"3,462"
Denis Franchi,"3,000"
Jordan Beyer,"3,000"
James Hill,"3,000"
Ryan Trevitt,"2,500"
Elliot Thorpe,"2,500"
Gavin Kilkenny,"1,500"
Louie Marsh,"1,000"
